ID_Eventos,FechaHora,ID_Sitio,Nombre_Actividad,Cantidad,Camera,Descripcion,ID_Usuario,Eventoscol
344,"2025-11-10 02:45:19",130,"Cleaner in",40,.,12:21,4,NULL
347,"2025-11-10 07:17:36",130,"Employee on site",2,2,prueba,4,NULL
348,"2025-11-11 00:07:34",130,"Cleaner in",1,1,"05:03 - 05:33 - 5:33",4,NULL
350,"2025-11-02 23:36:15",291,"START SHIFT",1,,"Do Not Edit - No Editar",4,NULL
351,"2025-11-11 01:22:59",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",8,NULL
352,"2025-11-11 01:23:02",291,"START SHIFT",0,,"Do Not Edit - No Editar",8,NULL
353,"2025-11-11 06:44:33",291,"START SHIFT",0,,"Do Not Edit - No Editar",15,NULL
354,"2025-11-11 22:28:26",130,"Cleaner in",1,1,"Red Sedan",4,NULL
355,"2025-11-12 01:58:35",130,"Employee in",1,123,2:33,4,NULL
356,"2025-11-15 02:28:57",130,"Cleaner in",1,1,02:33-2:33,4,NULL
357,"2025-11-15 03:10:40",130,"Cleaner in",1,1,"9:42 pm",4,NULL
360,"2025-11-15 03:39:41",196,"Cleaner in",41,44,3:38,4,NULL
361,"2025-11-15 03:52:25",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",4,NULL
362,"2025-11-15 03:52:33",291,"START SHIFT",0,,"Do Not Edit - No Editar",4,NULL
363,"2025-11-15 03:53:44",130,"Cleaner on site",1213,89,"red 4:45 sedan 5:45 pm 05:05- 22:10",4,NULL
364,"2025-11-15 03:57:41",287,"Cleaner in",1,1,1,4,NULL
365,"2025-11-15 04:04:46",130,"Cleaner in",1,1,1,4,NULL
366,"2025-11-15 04:05:17",130,"Cleaner in",1,1,"4:30 - 04:03  - [04:23]",4,NULL
367,"2025-11-15 05:07:57",196,"Cleaner in",2,45,4:56,4,NULL
369,"2025-11-15 06:55:46",130,"Cleaner on site",12,12,"3:26 hhhhh",4,NULL
370,"2025-11-15 07:54:50",334,"Employee out",5,5,05:23,4,NULL
371,"2025-11-15 22:41:52",291,"START SHIFT",0,,"Do Not Edit - No Editar",22,NULL
372,"2025-11-15 22:42:08",126,Dropoff,1,43,"White sedan",22,NULL
373,"2025-11-15 22:46:07",291,"START SHIFT",0,,"Do Not Edit - No Editar",35,NULL
376,"2025-11-15 22:51:33",291,"START SHIFT",0,,"Do Not Edit - No Editar",56,NULL
379,"2025-11-15 22:44:23",230,"Cleaner on site",1,37,,56,NULL
380,"2025-11-15 22:57:15",291,"START SHIFT",0,,"Do Not Edit - No Editar",25,NULL
381,"2025-11-15 22:45:23",217,"Cleaner in",1,call,,56,NULL
383,"2025-11-15 22:30:21",291,"Change Split",0,,"split 5-5",25,NULL
384,"2025-11-15 23:00:22",275,"Cleaner on site",1,30,,56,NULL
385,"2025-11-15 23:00:54",266,"Cleaner on site",1,103,,35,NULL
386,"2025-11-15 23:03:28",249,"Employee out",1,04,"Black sedan",22,NULL
387,"2025-11-15 23:03:56",256,"Employee on site",1,23,,35,NULL
388,"2025-11-15 22:35:23",291,"START SHIFT",0,,"Do Not Edit - No Editar",72,NULL
389,"2025-11-15 22:48:28",344,"Switch Car",1,11,"Grey sedan x Black SUV",72,NULL
390,"2025-11-15 23:10:43",318,"Cleaner in",1,call,"out 4:26 AM",25,NULL
391,"2025-11-15 22:54:52",342,"Cleaner on site",2,14,,72,NULL
392,"2025-11-15 23:11:14",129,"Employee out",1,24,"Sedan gris",22,NULL
395,"2025-11-15 22:55:26",288,"Cleaner on site",2,46,,72,NULL
396,"2025-11-15 22:35:44",291,"Change Split",0,,10/6,35,NULL
397,"2025-11-15 23:20:33",256,"Employee out",0,01,"sedan black",35,NULL
398,"2025-11-15 23:20:39",344,"Employee out",1,21,"Black sedan",72,NULL
399,"2025-11-15 22:00:00",291,"START SHIFT",0,,"Do Not Edit - No Editar",31,NULL
400,"2025-11-15 23:32:20",164,"Employee out",0,09,"suv black",35,NULL
401,"2025-11-15 23:34:01",129,"Employee out",1,23,"SUV Negra",22,NULL
402,"2025-11-15 22:50:00",346,"Security Patroling",1,08,"Sedan gris",31,NULL
403,"2025-11-15 23:41:57",230,"Cleaner on site",1,37,,56,NULL
404,"2025-11-15 23:43:45",275,"Security Patroling",1,10,Citadel,22,NULL
405,"2025-11-15 23:10:00",291,"Covered by",1,,"Wendy - Supevisora -23:21",31,NULL
406,"2025-11-15 00:00:02",342,"Employee out",1,1,"Black sedan",72,NULL
407,"2025-11-15 23:59:44",291,"START SHIFT",0,,"Do Not Edit - No Editar",54,NULL
409,"2025-11-16 00:02:26",291,"START SHIFT",0,,"Do Not Edit - No Editar",48,NULL
410,"2025-11-16 00:02:27",291,"START SHIFT",0,,"Do Not Edit - No Editar",10,NULL
412,"2025-11-16 00:02:29",291,"START SHIFT",0,,"Do Not Edit - No Editar",42,NULL
413,"2025-11-16 00:02:41",291,"START SHIFT",0,,"Do Not Edit - No Editar",7,NULL
414,"2025-11-16 00:03:19",126,"Cleaner on site",1,64,"Black sedan out 00:57",22,NULL
415,"2025-11-15 22:35:00",291,"Change Split",1,,SP5-ST4,31,NULL
416,"2025-11-15 22:35:47",291,"Change Split",0,,5/3,72,NULL
417,"2025-11-16 00:05:47",266,"Employee out",0,29,"cedan gray",35,NULL
418,"2025-11-16 00:06:59",291,"START SHIFT",0,,"Do Not Edit - No Editar",68,NULL
419,"2025-11-16 00:07:29",291,"Change Split",0,,14-7,22,NULL
421,"2025-11-16 00:07:17",291,"Change Split",0,,14/6,35,NULL
422,"2025-11-16 00:07:19",298,"Cleaner on site",2,29,00:53,72,NULL
423,"2025-11-16 00:07:37",291,"Took station over",0,,"Sp 14 St 10",48,NULL
425,"2025-11-16 00:07:39",291,"Change Split",0,0,"split 14",10,NULL
426,"2025-11-16 00:07:00",291,"Change Split",0,,"SP 14 ST 14",63,NULL
427,"2025-11-16 00:07:22",291,"Change Split",0,,"Split 14 OMNIA",68,NULL
428,"2025-11-16 00:09:22",162,"Cleaner on site",2,152,,48,NULL
429,"2025-11-16 00:12:25",291,"Change Split",0,,"Split 7, station 3",72,NULL
430,"2025-11-16 00:08:00",291,"Change Split",1,0,"SPLIT 14, STATION 9",8,NULL
431,"2025-11-16 00:17:58",249,"Cleaner in",1,11,"out 00:20",22,NULL
432,"2025-11-16 00:19:03",264,Pickup,0,03,"suv black",35,NULL
433,"2025-11-16 00:17:00",260,"Cleaner in",2,30,,8,NULL
434,"2025-11-16 00:35:32",262,"Employee out",1,28,"black suv",10,NULL
435,"2025-11-16 00:40:42",126,"Cleaner on site",1,,,54,NULL
436,"2025-11-16 00:47:15",141,"Employee out",1,15,"black sedan",10,NULL
437,"2025-11-16 00:39:52",344,"Employee in",1,14,"Black sedan",72,NULL
438,"2025-11-16 00:58:20",141,"Employee out",1,10,"grey suv",10,NULL
439,"2025-11-16 00:52:27",277,"Security Patroling",0,03,citadel,35,NULL
440,"2025-11-16 00:00:42",291,"Change Split",0,,"5-5 lux",25,NULL
441,"2025-11-16 00:58:29",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",7,NULL
442,"2025-11-16 00:45:43",291,"Covered by",0,,"sanabria until 00:55",25,NULL
443,"2025-11-16 01:00:38",141,"Cleaner out",5,,"BY CALL",48,NULL
444,"2025-11-15 11:36:00",289,"Cleaner on site",0,,"Call - 2 Cleaners",31,NULL
445,"2025-11-16 00:45:00",291,"Covered by",0,,"00:55 - Miguel B",31,NULL
446,"2025-11-16 19:34:46",291,"START SHIFT",0,,"Do Not Edit - No Editar",70,NULL
447,"2025-11-16 00:12:00",291,"Change Split",0,,SP7-ST4,31,NULL
448,"2025-11-16 01:28:02",120,"Cleaner in",1,27A,"White Van",42,NULL
449,"2025-11-16 00:25:00",357,"Security Patroling",1,16,"SUV BLANCA - Cetadel",31,NULL
451,"2025-11-16 01:31:00",291,"Covered by",1,,"BACK AT 1:42",8,NULL
452,"2025-11-16 01:58:22",130,Pickup,0,05,"sedan gray",35,NULL
454,"2025-11-16 02:02:38",240,Dropoff,1,02,"Gray sedan",22,NULL
455,"2025-11-15 21:00:06",291,"START SHIFT",0,,"Do Not Edit - No Editar",29,NULL
456,"2025-11-16 02:14:00",260,"Cleaner out",2,11,,8,NULL
457,"2025-11-16 02:02:14",163,Break,0,,"By Lorena Z",56,NULL
458,"2025-11-16 02:22:25",230,"Employee out",3,27,"Black PUT",56,NULL
459,"2025-11-16 02:01:00",291,Break,0,,"David Carvajal - 3:00 am",31,NULL
460,"2025-11-16 03:05:06",291,"START SHIFT",0,,"Do Not Edit - No Editar",7,NULL
461,"2025-11-15 22:55:15",291,"START SHIFT",0,,"Do Not Edit - No Editar",63,NULL
463,"2025-11-16 02:00:20",291,Break,0,,"by Sanabria",72,NULL
466,"2025-11-16 03:16:44",120,"Cleaner out",1,27A,"White Van",42,NULL
467,"2025-11-15 22:50:08",291,"START SHIFT",0,,"Do Not Edit - No Editar",86,NULL
468,"2025-11-15 22:23:49",291,"START SHIFT",0,,"Do Not Edit - No Editar",84,NULL
469,"2025-11-16 03:29:02",266,"Voice Down",0,65,,7,NULL
470,"2025-11-16 03:41:05",303,Dropoff,1,27,"White sedan",72,NULL
471,"2025-11-16 03:45:26",271,"Police Patroling",1,31,"Left at 5:30:29",42,NULL
472,"2025-11-16 03:58:06",195,"Cleaner on site",1,34,,56,NULL
473,"2025-11-16 03:59:09",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",29,NULL
474,"2025-11-16 03:59:02",291,"Change Split",0,,"Split 13",68,NULL
475,"2025-11-16 03:59:01",291,"Change Split",0,,13/6,35,NULL
476,"2025-11-16 03:59:01",163,"Change Split",0,,"split 13",7,NULL
477,"2025-11-16 03:59:14",291,"Change Split",0,,"Sp 13 St 10",48,NULL
478,"2025-11-16 03:59:02",291,"Change Split",0,,12,42,NULL
479,"2025-11-16 03:59:15",291,"Change Split",0,0,"split 13",10,NULL
480,"2025-11-16 04:02:57",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",7,NULL
481,"2025-11-16 03:04:47",291,Break,0,,"by Sarminento until 4:03 am",25,NULL
482,"2025-11-16 04:13:27",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",15,NULL
483,"2025-11-16 04:28:53",137,Dropoff,1,13,"1 black sedan",22,NULL
484,"2025-11-16 03:17:00",335,"Police Patroling",1,27,"SUV BLANCA",31,NULL
485,"2025-11-16 04:28:00",291,"Covered by",0,,"4:30 AM- Wendy",31,NULL
486,"2025-11-16 04:44:29",164,"Employee on site",1,20,,35,NULL
487,"2025-11-10 04:49:26",291,"START SHIFT",0,,"Do Not Edit - No Editar",6,NULL
488,"2025-11-15 11:36:00",289,"Cleaner in",0,,"Call - 2 Cleaners",31,NULL
489,"2025-11-16 04:42:33",291,"Covered by",0,,"Burbano, back at 4:51",72,NULL
490,"2025-11-15 23:36:00",289,"Cleaner in",2,,"Call - 2 cleaners.",31,NULL
493,"2025-11-16 00:00:00",291,"START SHIFT",0,,"Do Not Edit - No Editar",33,NULL
494,"2025-11-16 00:07:14",291,"Change Split",14,,,33,NULL
495,"2025-11-16 02:10:10",230,"Cleaner out",2,02,,33,NULL
497,"2025-11-16 02:13:30",230,Pickup,0,29,"Blue SUV out Charging Station",33,NULL
498,"2025-11-16 02:13:46",230,"Cleaner out",2,02,,33,NULL
499,"2025-11-16 04:00:22",291,Break,0,,"back at 05:00 AM",33,NULL
500,"2025-11-16 05:46:10",164,"First Employee",0,03,,33,NULL
501,"2025-11-16 05:47:51",133,Dropoff,0,05,"3 vehicles",54,NULL
502,"2025-11-16 05:52:13",164,"First Employee",1,09,"picup truck gray",35,NULL
503,"2025-11-16 05:59:34",291,"START SHIFT",0,,"Do Not Edit - No Editar",7,NULL
505,"2025-11-16 06:00:00",338,"Charging Station",1,4,,63,NULL
506,"2025-11-16 06:09:42",291,"Change Split",0,,"Split 9 station 3 lux",72,NULL
507,"2025-11-16 06:10:32",291,"Change Split",0,,"Split 15",68,NULL
508,"2025-11-16 06:10:40",291,"Change Split",0,,15,42,NULL
509,"2025-11-16 06:10:48",163,"Change Split",0,,15-7,22,NULL
510,"2025-11-16 06:10:37",291,"Change Split",0,,15/6,35,NULL
511,"2025-11-16 06:10:50",291,"Change Split",0,,"SP15 ST10",44,NULL
512,"2025-11-16 06:10:19",163,"Change Split",0,,"Split 15  stat 15- also took stat 14 until 6:12",7,NULL
513,"2025-11-16 06:10:48",291,"Change Split",0,0,"split 15",10,NULL
514,"2025-11-16 06:10:40",291,"Change Split",1,0,"TO SPLIT 15, STATION 9",8,NULL
515,"2025-11-16 06:12:22",131,"Cleaner on site",1,32,,35,NULL
516,"2025-11-16 06:09:11",291,"Change Split",0,,SP9-ST4,31,NULL
517,"2025-11-16 06:12:57",291,"Change Split",0,,"split 15/5",56,NULL
518,"2025-11-16 06:17:53",131,Dropoff,1,13,"1 sedan / 6 suv/ 6:50",35,NULL
519,"2025-11-16 19:29:00",291,"START SHIFT",1,-,"Do Not Edit - No Editar",43,NULL
520,"2025-11-16 06:10:16",291,"Change Split",0,,"Split 5-5",25,NULL
521,"2025-11-16 06:24:55",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",84,NULL
522,"2025-11-16 06:26:54",168,"Cleaner in",1,72,"black shirt",56,NULL
523,"2025-11-16 06:10:12",291,"Change Split",15,,,33,NULL
525,"2025-11-16 06:30:10",344,Dropoff,9,20,"9 Vehicles",72,NULL
527,"2025-11-16 06:33:17",168,"Cleaner in",1,157,"BLACK SUV",56,NULL
528,"2025-11-16 06:27:30",291,"Covered by",0,,"By Elizabeth C. until 6:36",25,NULL
529,"2025-11-16 06:53:46",291,"Covered by",0,,"OUT: 6:43",44,NULL
530,"2025-11-16 06:54:43",291,"START SHIFT",0,,"Do Not Edit - No Editar",44,NULL
531,"2025-11-16 06:54:53",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",44,NULL
532,"2025-11-16 06:54:28",291,"Covered by",0,,"6:59 - Edwin Ortiz",31,NULL
533,"2025-11-16 06:56:49",249,"First Employee",1,11,"Red Sedan",22,NULL
534,"2025-11-16 06:50:46",128,"First Employee",1,07,"White SUV",68,NULL
535,"2025-11-16 06:53:00",291,"Covered by",1,0,"BACK AT  6:59 AM",8,NULL
536,"2025-11-16 07:00:00",324,"First Employee",1,02,"Sedan blanco",31,NULL
537,"2025-11-16 07:02:27",344,"First Employee",1,,,72,NULL
539,"2025-11-16 06:58:20",121,Dropoff,1,05,"Black Sedan",42,NULL
540,"2025-11-16 07:07:13",121,"First Employee",1,1,"Black Pick Up Truck",42,NULL
541,"2025-11-16 06:35:28",342,"Employee on site",1,62,,54,NULL
542,"2025-11-16 07:13:25",162,"First Employee",1,76B,,48,NULL
543,"2025-11-16 06:56:01",280,"Security Patroling",1,3,,63,NULL
544,"2025-11-16 07:24:13",291,"Change Split",1,,"SPLIT 13/5",56,NULL
545,"2025-11-16 06:08:29",291,"Covered by",0,,"Edwin Ortiz / 6:17",54,NULL
546,"2025-11-16 07:27:27",291,"Change Split",0,,"Split 13",68,NULL
547,"2025-11-16 07:27:27",163,"Change Split",0,,"split 13",7,NULL
548,"2025-11-16 07:27:37",291,"Change Split",0,,13,42,NULL
549,"2025-11-16 07:27:36",291,"Change Split",1,0,"TO SPLIT 13, ST 9",8,NULL
550,"2025-11-16 07:27:39",291,"Change Split",0,,"Sp 13 St 10",48,NULL
551,"2025-11-16 07:27:43",291,"Change Split",0,0,"split 13",10,NULL
552,"2025-11-16 06:10:04",291,"Change Split",0,,"SP 9 ST 7 LUX",63,NULL
553,"2025-11-16 07:26:19",291,"Change Split",0,,13/6,35,NULL
554,"2025-11-16 07:24:16",291,"Change Split",0,,13-7,22,NULL
555,"2025-11-16 07:27:23",291,"Change Split",0,,"SP 7 ST 7 LUX",63,NULL
556,"2025-11-16 07:28:05",291,"Change Split",0,,"S 7/3",72,NULL
557,"2025-11-16 07:28:00",291,"Change Split",0,,SP7-ST4,31,NULL
558,"2025-11-16 07:31:54",291,"Took station over",0,,"st3 splt 7",54,NULL
559,"2025-11-16 07:33:43",121,"First Employee",1,53,"Arrrives in a  Red Ford mustang",48,NULL
561,"2025-11-16 07:27:16",291,"Change Split",14,,,33,NULL
564,"2025-11-16 07:28:19",163,"Took station over",0,,"stat 3 - split 13",7,NULL
565,"2025-11-16 00:31:35",291,covers,0,,12:42,54,NULL
566,"2025-11-16 01:00:47",291,Break,0,,"For Kevin Vergara / 2 am",54,NULL
567,"2025-11-16 01:25:48",291,"Covered by",0,,"Andres Galvis / 01:30",54,NULL
568,"2025-11-16 02:02:31",291,Break,0,,"For Maritza O / 03:02",54,NULL
569,"2025-11-16 03:02:23",291,Break,0,,"Covered by nobody / 4:01",54,NULL
570,"2025-11-16 04:02:33",291,covers,0,,05:01,54,NULL
571,"2025-11-16 05:02:19",291,Break,0,,"For Yosselin Candela / 06:01",54,NULL
572,"2025-11-16 07:45:56",130,"Cleaner in",1,1,"1:12 -02:24 ahhhhhh",4,NULL
573,"2025-11-16 06:09:13",291,"Took station over",0,,"9/9 LUX",54,NULL
574,"2025-11-16 07:46:51",118,"Employee on site",1,,,72,NULL
575,"2025-11-16 07:55:28",230,Dropoff,0,24,"Hatchback green",56,NULL
576,"2025-11-16 07:27:09",291,"Change Split",0,,"Split 7-5",25,NULL
577,"2025-11-16 07:58:17",291,"OMNIA Crash",0,,"Until 7:59:01",42,NULL
578,"2025-11-16 08:03:59",140,Dropoff,2,01,"grey suv / black pick up truck",10,NULL
579,"2025-11-16 08:04:39",159,"Cleaner on site",2,85,,8,NULL
580,"2025-11-16 08:02:39",159,"Contractor in",1,01,,25,NULL
581,"2025-11-16 08:14:09",223,"First Employee",1,12,"green pick up truck",10,NULL
582,"2025-11-16 08:17:43",150,"First Employee",1,78,,42,NULL
583,"2025-11-16 08:27:54",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",63,NULL
584,"2025-11-16 08:29:29",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",68,NULL
585,"2025-11-16 08:29:34",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",33,NULL
586,"2025-11-16 08:29:49",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",86,NULL
587,"2025-11-16 08:29:53",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",42,NULL
588,"2025-11-16 08:29:53",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",31,NULL
589,"2025-11-16 08:29:57",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",54,NULL
590,"2025-11-16 08:30:02",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",22,NULL
591,"2025-11-16 08:30:29",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",8,NULL
592,"2025-11-16 08:30:57",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",56,NULL
593,"2025-11-16 08:31:03",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",7,NULL
594,"2025-11-16 08:31:03",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",25,NULL
595,"2025-11-16 08:31:19",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",35,NULL
596,"2025-11-16 08:31:43",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",10,NULL
597,"2025-11-16 08:32:09",291,"START SHIFT",0,,"Do Not Edit - No Editar",80,NULL
600,"2025-11-16 08:30:39",324,"Detailer on site",1,72,,26,NULL
601,"2025-11-16 08:37:58",291,"START SHIFT",0,,"Do Not Edit - No Editar",26,NULL
602,"2025-11-16 08:37:33",324,"Detailer on site",1,72,,26,NULL
603,"2025-11-16 08:39:29",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",48,NULL
604,"2025-11-16 08:41:56",324,"Detailer on site",1,72,,26,NULL
605,"2025-11-16 08:45:42",291,"START SHIFT",0,,"Do Not Edit - No Editar",65,NULL
606,"2025-11-16 08:30:00",291,"START SHIFT",0,,"Do Not Edit - No Editar",52,NULL
607,"2025-11-16 08:45:45",291,"Change Split",0,,"Split 10/4 luxriot",26,NULL
608,"2025-11-16 08:37:00",291,"Took station over",0,,"TOOK STATION 13",65,NULL
609,"2025-11-16 08:35:22",167,"Employee on site",2,16,,52,NULL
611,"2025-11-16 08:40:04",291,"Change Split",0,,"TO SPLIT 18",65,NULL
612,"2025-11-16 08:40:19",291,"Change Split",1,,"13/4 to 18/4",52,NULL
613,"2025-11-16 08:40:37",273,"Site Down",0,,,65,NULL
614,"2025-11-16 08:57:34",340,Dropoff,1,15,"Black sedan",26,NULL
615,"2025-11-16 08:52:00",344,"Detailer on site",1,05,,80,NULL
616,"2025-11-16 09:43:03",291,"OMNIA Crash",0,,"CAMILO M TOOK STATION, BACK AT 9:43",65,NULL
617,"2025-11-16 10:50:10",345,"First Employee",1,2,"Black Sedan",26,NULL
618,"2025-11-16 08:30:06",291,"Change Split",0,,"SP13 ST10 - SP13 ST13",79,NULL
619,"2025-11-16 08:35:22",121,"Employee on site",1,54,,79,NULL
621,"2025-11-16 09:29:23",121,"Detailer in",1,54,"VAN BLANCA",79,NULL
622,"2025-11-16 11:21:49",291,"Covered by",0,,"BY SANTIAGO F, BACK AT 11:31",65,NULL
623,"2025-11-16 08:30:55",291,"START SHIFT",0,,"Do Not Edit - No Editar",79,NULL
624,"2025-11-16 11:22:01",291,"START SHIFT",0,,"Back at 11:29",59,NULL
626,"2025-11-16 11:38:36",291,"END OF SHIFT",0,,"Do Not Edit - No Editar",59,NULL
627,"2025-11-16 11:31:05",269,"First Employee",0,1,"BLACK PICK UP",65,NULL
628,"2025-11-16 11:34:27",269,"Employee in",0,4,"WHITE SEDAN",65,NULL
629,"2025-11-16 11:58:34",291,"Change Split",0,,"TO SPLIT 15",65,NULL
630,"2025-11-16 11:58:32",291,"Change Split",0,,"Split 8/4 Luxriot",26,NULL
631,"2025-11-16 11:58:49",291,"Change Split",1,,"18/4 to 15/4",52,NULL
632,"2025-11-16 08:30:19",291,"Change Split",0,,"SP13 ST10",79,NULL
634,"2025-11-16 08:40:11",291,"Change Split",0,,"SP18 ST10",79,NULL
636,"2025-11-16 12:01:13",236,"Cleaner on site",0,39,,65,NULL
637,"2025-11-16 08:35:20",291,"Took station over",0,,split13st13,36,NULL
